Name,Direct link or conversion command line,Source,License,Credits,md5,Width,Height,Pixels,Format,Bit depth,Translucent,Animated,Camera-captured,Scan,Synthetic,Up-to-128x128px,Screen-captured,Medical,Gaming,Emoji,High-bit-depth
apps-preferences-desktop-accessibility.png,https://raw.githubusercontent.com/nigeltao/tango-icon-library-pngs/main/png-512/apps-preferences-desktop-accessibility.png,https://github.com/nigeltao/tango-icon-library-pngs / https://qoiformat.org/benchmark/,Public domain,"Tango Desktop Project, Nigel Tao",4823b0085bfa622ec4be4a874b4b8ba5,512,512,262144,RGB,8,1,0,0,0,1,0,0,0,0,0,0
apps-preferences-desktop-keyboard-shortcuts.png,https://raw.githubusercontent.com/nigeltao/tango-icon-library-pngs/main/png-512/apps-preferences-desktop-keyboard-shortcuts.png,https://github.com/nigeltao/tango-icon-library-pngs / https://qoiformat.org/benchmark/,Public domain,"Tango Desktop Project, Nigel Tao",403af5e6cedf44b305cfe7f8aecd8398,512,512,262144,RGB,8,1,0,0,0,1,0,0,0,0,0,0
apps-preferences-desktop-wallpaper.png,https://raw.githubusercontent.com/nigeltao/tango-icon-library-pngs/main/png-512/apps-preferences-desktop-wallpaper.png,https://github.com/nigeltao/tango-icon-library-pngs / https://qoiformat.org/benchmark/,Public domain,"Tango Desktop Project, Nigel Tao",bfdeee3a38da735b18777dedca83d9e5,512,512,262144,RGB,8,1,0,0,0,1,0,0,0,0,0,0
devices-battery.png,https://raw.githubusercontent.com/nigeltao/tango-icon-library-pngs/main/png-512/devices-battery.png,https://github.com/nigeltao/tango-icon-library-pngs / https://qoiformat.org/benchmark/,Public domain,"Tango Desktop Project, Nigel Tao",988c94a0b3b2baff523bb85e4ffa977b,512,512,262144,RGB,8,1,0,0,0,1,0,0,0,0,0,0
status-dialog-information.png,https://raw.githubusercontent.com/nigeltao/tango-icon-library-pngs/main/png-512/status-dialog-information.png,https://github.com/nigeltao/tango-icon-library-pngs / https://qoiformat.org/benchmark/,Public domain,"Tango Desktop Project, Nigel Tao",c3e12b11128e4147453f66e5f06372c2,512,512,262144,RGB,8,1,0,0,0,1,0,0,0,0,0,0
3dbrick2.png,https://commons.wikimedia.org/wiki/File:3dbrick2.png,https://qoiformat.org/benchmark/,CC BY-SA 3.0,Luis46coco,f3dfa8077612c9667aa667a54ce32d0f,320,240,76800,RGB,8,0,0,0,0,1,0,0,0,1,0,0
Absolver_screenshot_Help.png,https://commons.wikimedia.org/wiki/File:Absolver_screenshot_Help.png,https://qoiformat.org/benchmark/,CC BY-SA 3.0,Absolver developer Sloclap,bb3e6b0837994428a2cf6e8e2d690e25,1200,675,810000,RGB,8,0,0,0,0,1,0,0,0,1,0,0
Agar.io_gameplay.png,https://commons.wikimedia.org/wiki/File:Agar.io_gameplay.png,https://qoiformat.org/benchmark/,CC BY-SA 3.0,Sajua Wanu,03a9819ae140599b52dd6afa969964b1,960,624,599040,RGB,8,0,0,0,0,1,0,0,0,1,0,0
Ballerburg.png,https://commons.wikimedia.org/wiki/File:Ballerburg.png,https://qoiformat.org/benchmark/,CC BY-SA 3.0,Ballerburg,7a1daa3bbe14b4d94e437b415f5850d5,400,250,100000,RGB,8,0,0,0,0,1,0,0,0,1,0,0
BananaDash2.png,https://commons.wikimedia.org/wiki/File:BananaDash2.png,https://qoiformat.org/benchmark/,CC BY-SA 3.0,Quasium,9afcf33879c80be0bec1dded260a7e14,575,375,215625,RGB,8,0,0,0,0,1,0,0,0,1,0,0
BFM-screenshot01.png,https://commons.wikimedia.org/wiki/File:BFM-screenshot01.png,https://qoiformat.org/benchmark/,CC BY-SA 3.0,Battle for Mandicor,27bc21d3e97bb1f426f689ed0c6313df,1024,768,786432,RGB,8,0,0,0,0,1,0,0,0,1,0,0
Blek_screenshot_collection_2.png,https://commons.wikimedia.org/wiki/File:Blek_screenshot_collection_2.png,https://qoiformat.org/benchmark/,CC BY-SA 3.0,kunabi brother GmbH,e2c3a38bf3b2ae38f8b8afb773047a52,1200,899,1078800,RGB,8,0,0,0,0,1,0,0,0,1,0,0
Broforce_miniboss.png,https://commons.wikimedia.org/wiki/File:Broforce_miniboss.png,https://qoiformat.org/benchmark/,CC BY-SA 3.0,Free Lives Games,ede6b661003f493014f8e1d17f52d35f,1200,675,810000,RGB,8,0,0,0,0,1,0,0,0,1,0,0
Celeste_screenshot_11.png,https://commons.wikimedia.org/wiki/File:Celeste_screenshot_11.png,https://qoiformat.org/benchmark/,CC BY-SA 3.0,Matt Makes Games,25f053021f76eeebfcc8ad1703236766,1200,675,810000,RGB,8,0,0,0,0,1,0,0,0,1,0,0
Close_Castles_screenshot.png,https://commons.wikimedia.org/wiki/File:Close_Castles_screenshot.png,https://qoiformat.org/benchmark/,CC BY-SA 3.0,Asher Vollmer,95932e5a52845854d6e1522f680908e9,1200,676,811200,RGB,8,0,0,0,0,1,0,0,0,1,0,0
CompliKATEd_screenshot_2.png,https://commons.wikimedia.org/wiki/File:CompliKATEd_screenshot_2.png,https://qoiformat.org/benchmark/,CC BY-SA 3.0,CompliKATed Game,00648d11a6b1e6e579dacd2d2884cd0d,1200,675,810000,RGB,8,0,0,0,0,1,0,0,0,1,0,0
Contraption_7.png,https://commons.wikimedia.org/wiki/File:Contraption_7.png,https://qoiformat.org/benchmark/,CC BY-SA 3.0,Northway Games,7769f56495f1c9a307ffbdd8963bbc68,1200,675,810000,RGB,8,0,0,0,0,1,0,0,0,1,0,0
Cw3.png,https://commons.wikimedia.org/wiki/File:Cw3.png,https://qoiformat.org/benchmark/,CC BY-SA 3.0,GifTagger,8156fe2a03646fe93fc043d9e91eed62,1023,767,784641,RGB,8,0,0,0,0,1,0,0,0,1,0,0
"Dr._Langeskov,_The_Tiger,_and_The_Terribly_Cursed_Emerald_Screenshot_4.png","https://commons.wikimedia.org/wiki/File:Dr._Langeskov,_The_Tiger,_and_The_Terribly_Cursed_Emerald_Screenshot_4.png",https://qoiformat.org/benchmark/,CC BY-SA 3.0,Dominik Johann,e1b5e898b885eee20be22f87536aff82,1200,675,810000,RGB,8,0,0,0,0,1,0,0,0,1,0,0
EnigmaScreenshot.png,https://commons.wikimedia.org/wiki/File:EnigmaScreenshot.png,https://qoiformat.org/benchmark/,CC BY-SA 3.0,Enigma,073f17f4ae5b050637996d0f4bb368b1,640,480,307200,RGB,8,0,0,0,0,1,0,0,0,1,0,0
Fullscore5-1.png,https://commons.wikimedia.org/wiki/File:Fullscore5-1.png,https://qoiformat.org/benchmark/,CC BY-SA 3.0,Cardinal RO,1760c289441646d660fa617c0f5d502c,378,251,94878,RGB,8,0,0,0,0,1,0,1,0,1,0,0
Galak-Z_screenshot_-_whole_gang.png,https://commons.wikimedia.org/wiki/File:Galak-Z_screenshot_-_whole_gang.png,https://qoiformat.org/benchmark/,CC BY-SA 3.0,"Raj Joshi, Senior Producer & Studio Director for 17-BIT",b066804662387334a6cee26a165983f3,1200,675,810000,RGB,8,0,0,0,0,1,0,0,0,1,0,0
GNU_bg_screenshot.png,https://commons.wikimedia.org/wiki/File:GNU_bg_screenshot.png,https://qoiformat.org/benchmark/,CC BY-SA 3.0,Ptkfgs,432d852569e467e62f5cc6c5550517b4,1200,881,1057200,RGB,8,0,0,0,0,1,0,1,0,1,0,0
